"","chr","start","end","TargetGene","activity","hic_contact","ABC_Score","CellType"
"9707","chr10",136171,137383,"ZMYND11",3.6396,100,0.294,"GM12878"
"9708","chr10",1048809,1049643,"ZMYND11",22.741,2.4527,0.045,"GM12878"
"9709","chr10",1055916,1057201,"ZMYND11",13.8926,2.1841,0.0245,"GM12878"
"9710","chr10",134100,134733,"ZMYND11",1.6675,100,0.1347,"GM12878"
"9711","chr10",135147,135647,"ZMYND11",2.2556,100,0.1822,"GM12878"
"9712","chr10",127783,128578,"ZMYND11",1.9611,33.8884,0.0537,"GM12878"
"9713","chr10",973455,974842,"LARP4B",6.9799,23.0915,0.0548,"GM12878"
"9714","chr10",1048809,1049643,"LARP4B",22.741,18.7863,0.1453,"GM12878"
"9715","chr10",1055916,1057201,"LARP4B",13.8926,15.0831,0.0712,"GM12878"
"9716","chr10",988115,988658,"LARP4B",11.1895,19.9949,0.0761,"GM12878"
"9717","chr10",943382,944935,"LARP4B",3.0459,29.529,0.0306,"GM12878"
"9718","chr10",929898,930398,"LARP4B",2.4124,100,0.082,"GM12878"
"9719","chr10",936570,937070,"LARP4B",0.773,78.2203,0.0206,"GM12878"
"9720","chr10",1043325,1044128,"LARP4B",6.2891,18.6959,0.04,"GM12878"
"9721","chr10",931455,932088,"LARP4B",6.5346,100,0.2222,"GM12878"
"9722","chr10",973455,974842,"GTPBP4",6.9799,55.6724,0.1077,"GM12878"
"9723","chr10",1048809,1049643,"GTPBP4",22.741,19.068,0.1202,"GM12878"
"9724","chr10",1055916,1057201,"GTPBP4",13.8926,15.7032,0.0605,"GM12878"
"9725","chr10",992297,992955,"GTPBP4",2.718,84.951,0.064,"GM12878"
"9726","chr10",988115,988658,"GTPBP4",11.1895,100,0.3101,"GM12878"
"9727","chr10",943382,944935,"GTPBP4",3.0459,24.2382,0.0205,"GM12878"
"9728","chr10",986872,987372,"GTPBP4",1.2774,100,0.0354,"GM12878"
"9729","chr10",1043325,1044128,"GTPBP4",6.2891,17.3039,0.0302,"GM12878"
"9730","chr10",931455,932088,"GTPBP4",6.5346,20.4117,0.037,"GM12878"
"9731","chr10",1050501,1051001,"IDI1",2.5552,100,0.0475,"GM12878"
"9732","chr10",1048809,1049643,"IDI1",22.741,100,0.4224,"GM12878"
"9733","chr10",1055916,1057201,"IDI1",13.8926,100,0.258,"GM12878"
"9734","chr10",988115,988658,"IDI1",11.1895,15.2657,0.0317,"GM12878"
"9735","chr10",1057281,1057781,"IDI1",2.1813,100,0.0405,"GM12878"
"9736","chr10",1043325,1044128,"IDI1",6.2891,25.4046,0.0297,"GM12878"
"9737","chr10",1050501,1051001,"WDR37",2.5552,100,0.0475,"GM12878"
"9738","chr10",1048809,1049643,"WDR37",22.741,100,0.4224,"GM12878"
"9739","chr10",1055916,1057201,"WDR37",13.8926,100,0.258,"GM12878"
"9740","chr10",988115,988658,"WDR37",11.1895,15.2662,0.0317,"GM12878"
"9741","chr10",1057281,1057781,"WDR37",2.1813,100,0.0405,"GM12878"
"9742","chr10",1043325,1044128,"WDR37",6.2891,25.4078,0.0297,"GM12878"
"9743","chr10",1661802,1662942,"ADARB2",3.1609,15.0101,0.0211,"GM12878"
"9744","chr10",1730141,1730641,"ADARB2",0.7708,87.1676,0.0299,"GM12878"
"9745","chr10",1048809,1049643,"ADARB2",22.741,5.2811,0.0534,"GM12878"
"9746","chr10",1724835,1725335,"ADARB2",0.9724,52.8268,0.0229,"GM12878"
"9747","chr10",1731578,1732078,"ADARB2",0.9182,86.9576,0.0355,"GM12878"
"9748","chr10",1737226,1738189,"ADARB2",5.6904,100,0.2532,"GM12878"
"9749","chr10",1738831,1739331,"ADARB2",3.5232,100,0.1568,"GM12878"
"9750","chr10",3172591,3173313,"PFKP",6.0639,11.0092,0.0328,"GM12878"
"9751","chr10",3067269,3067769,"PFKP",1.5557,100,0.0765,"GM12878"
"9752","chr10",3782008,3783689,"PFKP",25.8483,2.5051,0.0318,"GM12878"
"9753","chr10",3071346,3071846,"PFKP",1.1623,66.4073,0.038,"GM12878"
"9754","chr10",3048230,3049041,"PFKP",1.536,46.7626,0.0353,"GM12878"
"9755","chr10",3068143,3068643,"PFKP",3.2237,65.8599,0.1044,"GM12878"
"9756","chr10",3069065,3069565,"PFKP",2.5773,66.0428,0.0837,"GM12878"
"9757","chr10",2947951,2948910,"PFKP",4.383,10.6849,0.023,"GM12878"
"9758","chr10",3172591,3173313,"PITRM1",6.0639,100,0.3026,"GM12878"
"9759","chr10",3178000,3178500,"PITRM1",0.4711,100,0.0235,"GM12878"
"9760","chr10",3784948,3785674,"PITRM1",13.0159,3.7584,0.0244,"GM12878"
"9761","chr10",3782008,3783689,"PITRM1",25.8483,3.7581,0.0485,"GM12878"
"9762","chr10",3875051,3875748,"PITRM1",15.1087,3.0363,0.0229,"GM12878"
"9763","chr10",3805151,3805651,"KLF6",4.3781,50.5715,0.0262,"GM12878"
"9764","chr10",3901670,3902854,"KLF6",10.9237,17.3031,0.0224,"GM12878"
"9765","chr10",3781281,3781781,"KLF6",2.7579,74.0195,0.0242,"GM12878"
"9766","chr10",3810122,3810850,"KLF6",9.2323,32.0473,0.035,"GM12878"
"9767","chr10",3784948,3785674,"KLF6",13.0159,100,0.1542,"GM12878"
"9768","chr10",3782008,3783689,"KLF6",25.8483,100,0.3062,"GM12878"
"9769","chr10",3850998,3851784,"KLF6",7.3683,25.1788,0.022,"GM12878"
"9770","chr10",3852045,3852939,"KLF6",9.9276,25.186,0.0296,"GM12878"
"9771","chr10",3811339,3811839,"KLF6",6.8666,32.069,0.0261,"GM12878"
"9772","chr10",3875051,3875748,"KLF6",15.1087,24.1718,0.0433,"GM12878"
"9773","chr10",3805151,3805651,"LOC105376365",4.3781,29.3775,0.0212,"GM12878"
"9774","chr10",3832397,3832897,"LOC105376365",1.4646,100,0.0242,"GM12878"
"9775","chr10",3901670,3902854,"LOC105376365",10.9237,17.6326,0.0318,"GM12878"
"9776","chr10",3828177,3829276,"LOC105376365",3.0801,100,0.0508,"GM12878"
"9777","chr10",3835643,3836254,"LOC105376365",4.6689,100,0.077,"GM12878"
"9778","chr10",3810122,3810850,"LOC105376365",9.2323,33.9879,0.0517,"GM12878"
"9779","chr10",3784948,3785674,"LOC105376365",13.0159,20.484,0.044,"GM12878"
"9780","chr10",3782008,3783689,"LOC105376365",25.8483,20.5012,0.0874,"GM12878"
"9781","chr10",3836378,3836878,"LOC105376365",3.3719,100,0.0556,"GM12878"
"9782","chr10",3850998,3851784,"LOC105376365",7.3683,48.1981,0.0586,"GM12878"
"9783","chr10",3852045,3852939,"LOC105376365",9.9276,48.2419,0.079,"GM12878"
