chr	gene_id	gene_start	gene_end	GeneScan3D.Cauchy	GeneScan3D.Cauchy_knockoff_1	GeneScan3D.Cauchy_knockoff_2	GeneScan3D.Cauchy_knockoff_3	GeneScan3D.Cauchy_knockoff_4	GeneScan3D.Cauchy_knockoff_5
1	SAMD11	860260	879955	3.03313024526915e-51	3.60998390508189e-36	2.87929409988249e-41	8.16205600966093e-35	8.3737952210949e-36	2.64331849004508e-37
1	NOC2L	879584	894689	3.71143358731185e-31	2.55552141081824e-16	2.45864197171586e-19	4.12616207426753e-21	7.96538869672479e-20	1.45844088209841e-21
1	KLHL17	895967	901095	3.19413149751924e-06	0.00201871176766655	1.80225012513802e-06	0.0127968525232751	0.000955718100498437	0.00294624672250676
1	PLEKHN1	901877	911245	5.04310627277291e-56	1.65810434496023e-30	1.11954396391678e-34	1.43171088603979e-33	2.9034220412485e-46	2.18588927539256e-44
1	C1orf170	910579	917497	7.61012972949312e-64	1.78575196055079e-41	8.74600506799142e-46	1.83350184572545e-42	1.19084482294193e-40	1.40384785653861e-45
1	HES4	934342	935552	4.28251891321347e-56	2.46427725050233e-25	4.76651006024821e-27	5.78167009098572e-26	1.50305001401316e-26	6.969307860163e-24
1	ISG15	948803	949920	3.03404725533314e-28	1.70751668107377e-27	1.15711442792705e-34	1.59549821963261e-26	9.26081077924314e-22	1.93933800151341e-34
1	AGRN	955503	991496	1.568236885947e-68	1.00695367427625e-45	3.09883425849129e-44	1.4936125747968e-45	7.71491807060828e-47	1.10154085147017e-42
1	RNF223	1006346	1009687	4.52229695605529e-56	5.02481872935317e-45	2.06907684568172e-38	5.78661910234107e-44	1.59536930939399e-33	5.23623074050703e-40
1	C1orf159	1017198	1051741	2.52882636859843e-108	2.86800238642959e-58	2.90779494256267e-60	2.31405200113144e-62	1.00245626289112e-58	7.79101733917868e-60
1	TTLL10	1109264	1133315	0	2.2212918601424e-54	2.16114801038857e-48	2.81100080116966e-46	1.20365537143439e-51	7.77001617955e-50
1	TNFRSF18	1138888	1142071	3.74010304203421e-23	1.33226762955019e-15	9.54791801177635e-15	6.21724893790088e-15	3.81028542051354e-13	4.00057764693429e-12
1	TNFRSF4	1146706	1149518	1.84732890344479e-19	1.23057120049452e-12	5.55111512312578e-15	2.7610136399403e-12	5.08915132257926e-12	4.34097202628436e-13
1	SDF4	1152288	1167411	1.86137132711839e-108	4.83283509532197e-54	2.15720066659258e-54	5.08727221292431e-57	1.09554227737953e-56	2.37969913783658e-57
1	B3GALT6	1167629	1170421	2.13264402939572e-108	1.91729530076332e-48	3.05525302286221e-49	2.01698063235321e-50	3.29342521166246e-47	7.53672051986615e-48
1	FAM132A	1177826	1182102	9.46710714719818e-109	5.55035257423387e-53	1.08711397449824e-55	4.00709943495419e-51	8.49404679270137e-56	3.8062695408194e-50
1	UBE2J2	1189289	1209265	0	6.47832881218063e-53	2.63993517322415e-60	6.65746902230185e-50	8.88038658130499e-60	5.36573785044498e-54
1	SCNN1D	1215816	1227409	8.20454815197991e-14	1.69810182581998e-08	2.87342685201253e-08	6.695704657389e-09	3.43238992783768e-10	1.35808053691733e-09
1	ACAP3	1227756	1244989	1.55431223447522e-15	0.000981152137450092	1.29819970660083e-05	1.79226638530317e-05	0.00058651439359525	0.00478458597476938
1	PUSL1	1243947	1247057	4.44089209850063e-16	0.000119187010885646	2.24428410862121e-05	1.05925634603654e-05	6.93906147656298e-05	6.60366645810484e-08
1	CPSF3L	1246965	1260071	2.6194056257367e-08	0.000545774460421811	8.12721984665421e-05	4.40538354922193e-05	0.000596689613122869	0.00679837074625245
1	GLTPD1	1260136	1264277	1.88156386471405e-07	0.00976853041152226	0.00521781672199784	0.00266523850321321	0.000195953257946968	0.00331834570579659
1	TAS1R3	1266694	1270686	4.16044976248031e-10	0.00294428971133909	0.00129101672525322	0.0244391060087661	0.0381668855718381	0.0246731985776114
1	DVL1	1270656	1284730	9.98524374296039e-10	0.000467395403062509	0.00189656662870741	0.000866306907684411	0.0023649350601147	0.00440838304957314
1	MXRA8	1288069	1297157	2.71238774551819e-07	0.0215236104065053	3.82081140082313e-05	6.94868558737127e-05	0.000249748458382104	0.0149350451524612
