chr	gene_id	gene_start	gene_end	GeneScan3D.Cauchy	GeneScan3D.Cauchy_knockoff_1	GeneScan3D.Cauchy_knockoff_2	GeneScan3D.Cauchy_knockoff_3	GeneScan3D.Cauchy_knockoff_4	GeneScan3D.Cauchy_knockoff_5
1	MIB2	1550795	1565990	0.195964166110164	0.532224440755232	0.46802145141679	0.115727394844595	0.266546639504472	0.543261761164104
1	MMP23B	1567474	1570639	0.150966751166541	0.529861929400627	0.0661417487496365	0.871570832428769	0.26819340847548	0.142081043639181
1	CDK11B	1570603	1590473	0.516750470772143	0.798148265041151	0.237574019368422	0.568806137326998	0.321512596099308	0.777911531851142
1	SLC35E2B	1592939	1624167	0.231122615773547	0.589824652658855	0.646158227107959	0.27113803896099	0.695899711426961	0.533279887445317
1	CDK11A	1634169	1655766	0.252572324632303	0.333949687206284	0.221056721134734	0.766883571342546	0.614481765186458	0.808437243444024
1	SLC35E2	1656277	1677431	0.302216313473237	0.30305651097407	0.507319554118216	0.131064778465532	0.916667727304697	0.0617847898108885
1	NADK	1682671	1711896	0.68883278640843	0.12346567597285	0.892714186251362	0.826502008773253	0.487529236913259	0.711121994782462
1	GNB1	1716729	1822495	0.438928158996614	0.332545984191317	0.724120837786426	0.067049273155921	0.299598070168812	0.32789743873074
1	CALML6	1846266	1848735	0.688454034080009	0.774288670457518	0.0302584117714398	0.0830095620900988	0.749517834074469	0.834491048165691
1	TMEM52	1849029	1850712	0.514418510220975	0.779664441074958	0.302492035468717	0.847044801582717	0.860785066984885	0.830851691661063
1	C1orf222	1853396	1935276	0.713815398440289	0.0723339736406152	0.584827094763349	0.527158481850186	0.741096460470225	0.383367936801109
1	GABRD	1950780	1962192	0.12402488140259	0.0736312145844797	0.502590177484842	0.487138214056939	0.509776592890372	0.0833263984057435
1	PRKCZ	1981909	2116834	0.442178529936178	0.0141040797766661	0.376273026183661	0.780346954267289	0.609877790196907	0.41841036039237
1	C1orf86	2115903	2144159	0.599288591489297	0.815766153108513	0.751403383371627	0.436789268434281	0.327966874699329	0.658208855579363
1	SKI	2160134	2241558	0.243879552001397	0.00592241036299812	0.365327130425596	0.322172135426899	0.327287451393375	0.247662098754801
1	MORN1	2252692	2323146	0.459929805729984	0.334735502397	0.674927412427244	0.720443668795554	0.392782491684302	0.378877229446271
1	RER1	2323267	2336883	0.757063983673074	0.106985596283494	0.604522914826651	0.481208447153421	0.165270481431588	0.430514953197285
1	PEX10	2336236	2345236	0.839012939979345	0.553320278780422	0.654653679400527	0.177707486581986	0.403999605527146	0.204238246302832
1	PLCH2	2357419	2436969	0.488194163382138	0.286417554646764	0.348554917884022	0.810083421502741	0.533849090711606	0.242201784053608
1	PANK4	2439972	2458039	0.633180546962292	0.424964795559746	0.720391125254389	0.662873746862657	0.20942546512297	0.226673429137832
