id	chr	start	end	tss
A1BG	19	58345178	58353492	58353492
A1CF	10	50799409	50885675	50885675
A2M	12	9067664	9116229	9116229
A2ML1	12	8822621	8887001	8822621
A3GALT2	1	33306766	33321098	33321098
A4GALT	22	42692121	42721298	42721298
A4GNT	3	138123713	138132390	138132390
AAAS	12	53307456	53324864	53324864
AACS	12	125065434	125143333	125065434
AADAC	3	151814073	151828488	151814073
AADACL2	3	151733916	151761339	151733916
AADACL3	1	12716110	12728760	12716110
AADACL4	1	12644547	12667086	12644547
AADAT	4	170060222	170091699	170091699
AAGAB	15	67200667	67255195	67255195
AAK1	2	69457997	69674349	69674349
AAMDC	11	77821109	77918432	77821109
AAMP	2	218264129	218270178	218270178
AANAT	17	76453351	76470117	76453351
AAR2	20	36236459	36270918	36236459
AARD	8	116938207	116944487	116938207
AARS1	16	70251983	70289707	70289707
AARS2	6	44298731	44313347	44313347
AARSD1	17	42950526	42964498	42964498
AASDH	4	56338287	56387508	56387508
AASDHPPT	11	106075501	106098699	106075501
AASS	7	122073549	122144255	122144255
AATF	17	36948954	37056871	36948954
AATK	17	81110487	81166221	81166221
ABAT	16	8674596	8784575	8674596
ABCA1	9	104781006	104928155	104928155
ABCA10	17	69147214	69244846	69244846
ABCA12	2	214931542	215138626	215138626
ABCA13	7	48171458	48647497	48171458
ABCA2	9	137007234	137028922	137028922
ABCA3	16	2275881	2340746	2340746
ABCA4	1	93992834	94121148	94121148
ABCA5	17	69244311	69327244	69327244
ABCA6	17	69078702	69141895	69141895
ABCA7	19	1039997	1065572	1040107
ABCA8	17	68867289	68955392	68955392
ABCA9	17	68974488	69060949	69060949
ABCB1	7	87503017	87713323	87713323
ABCB10	1	229516582	229558707	229558707
ABCB11	2	168915498	169031324	169031324
ABCB4	7	87401696	87480435	87480435
ABCB5	7	20615207	20777038	20615207
ABCB6	2	219209772	219218994	219218994
ABCB7	X	75051048	75156732	75156732
ABCB8	7	151028422	151047782	151028422
ABCB9	12	122920951	122981649	122981649
ABCC1	16	15949577	16143074	15949577
ABCC10	6	43427366	43450427	43427366
ABCC11	16	48166910	48247568	48247568
ABCC12	16	48081006	48156018	48156018
ABCC2	10	99782640	99852594	99782640
ABCC3	17	50634777	50692253	50634777
ABCC4	13	95019835	95301475	95301475
ABCC5	3	183919934	184017939	184017939
ABCC6	16	16148928	16223522	16223522
ABCC8	11	17392498	17476879	17476879
ABCC9	12	21797401	21942529	21942529
ABCD1	X	153724856	153744755	153724856
ABCD2	12	39550033	39619803	39619803
ABCD3	1	94418389	94518666	94418389
