"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","WWC1","GH05F168312","chr5",168312357,168319217,1.77,12.82
"2","PDLIM7","GH05F177502","chr5",177502039,177504260,1.02,29.26
"3","DOK3","GH05F177502","chr5",177502039,177504260,1.02,0.4
"4","THG1L","GH05F157747","chr5",157747266,157750806,0.59,5.95
"5","LSM11","GH05F157747","chr5",157747266,157750806,0.59,4.94
"6","CYFIP2","GH05F157747","chr5",157747266,157750806,0.59,4.81
"7","SLC23A1","GH05F139270","chr5",139270932,139279161,0.94,13.46
"8","DNAJC18","GH05F139270","chr5",139270932,139279161,0.94,11.8
"9","PURA","GH05F139270","chr5",139270932,139279161,0.94,10.59
"10","KDM3B","GH05F139270","chr5",139270932,139279161,0.94,10.2
"11","MATR3","GH05F139270","chr5",139270932,139279161,0.94,2.22
"12","LRRTM2","GH05F139270","chr5",139270932,139279161,0.94,2.16
"13","TGFBI","GH05F136004","chr5",136004132,136008632,1.35,12.64
"14","RICTOR","GH05F039270","chr5",39270172,39270748,0.25,9.94
"15","C9","GH05F039270","chr5",39270172,39270748,0.25,9.22
"16","DAB2","GH05F039270","chr5",39270172,39270748,0.25,9.2
"17","WWC1","GH05F168307","chr5",168307954,168310143,0.71,12.19
"18","MAP1B","GH05F072517","chr5",72517594,72518862,1.11,5.17
"19","FCHO2","GH05F072517","chr5",72517594,72518862,1.11,4.24
"20","ZNF366","GH05F072517","chr5",72517594,72518862,1.11,0.36
"21","IRX4","GH05F002093","chr5",2093125,2095248,0.65,6.28
"22","IRX2","GH05F002093","chr5",2093125,2095248,0.65,6.16
"23","NAIP","GH05F071002","chr5",71002801,71003800,0.25,0.31
"24","SMN1","GH05F071002","chr5",71002801,71003800,0.25,0.17
"25","CLINT1","GH05F157945","chr5",157945601,157945800,0.38,10.59
"26","SH3RF2","GH05F145960","chr5",145960341,145961447,0.25,19.47
"27","GRXCR2","GH05F145960","chr5",145960341,145961447,0.25,0.31
"28","ATP6AP1L","GH05F082417","chr5",82417401,82420400,0.9,9.76
"29","GDNF","GH05F037888","chr5",37888338,37890854,1.12,11.28
"30","RBM27","GH05F146877","chr5",146877838,146879236,0.38,15.23
"31","TCERG1","GH05F146877","chr5",146877838,146879236,0.38,11.28
"32","PPP2R2B","GH05F146877","chr5",146877838,146879236,0.38,7.23
"33","KCNMB1","GH05F170490","chr5",170490201,170492600,1.21,14.04
"34","LCP2","GH05F170490","chr5",170490201,170492600,1.21,12.51
"35","PAM","GH05F102858","chr5",102858582,102859398,0.93,0.13
"36","SNX2","GH05F122696","chr5",122696401,122697600,0.71,43.7
"37","SRFBP1","GH05F122696","chr5",122696401,122697600,0.71,21.12
"38","LOX","GH05F122696","chr5",122696401,122697600,0.71,11.13
"39","ZNF474","GH05F122696","chr5",122696401,122697600,0.71,10.45
"40","PRDM6","GH05F122696","chr5",122696401,122697600,0.71,7.42
"41","SRD5A1","GH05F006650","chr5",6649601,6649800,0.25,16.68
"42","LARP1","GH05F154708","chr5",154708801,154709401,1.14,30.99
"43","NR3C1","GH05F143437","chr5",143437001,143437400,0.69,0.76
"44","SH3RF2","GH05F145920","chr5",145920081,145923138,0.38,0.36
"45","CLTB","GH05F176492","chr5",176491748,176493071,0.38,11.36
"46","HIGD2A","GH05F176492","chr5",176491748,176493071,0.38,11.33
"47","NOP16","GH05F176492","chr5",176491748,176493071,0.38,11.33
"48","CDHR2","GH05F176492","chr5",176491748,176493071,0.38,11.31
"49","FAF2","GH05F176492","chr5",176491748,176493071,0.38,11.05
"50","ARL10","GH05F176492","chr5",176491748,176493071,0.38,9.98
"51","KIAA1191","GH05F176492","chr5",176491748,176493071,0.38,9.98
"52","KLHL3","GH05F137672","chr5",137672112,137672261,0.25,11.65
"53","EDIL3","GH05F084292","chr5",84292801,84293099,0.91,7.57
"54","ZNF346","GH05F177410","chr5",177410601,177411000,0.25,23.31
"55","GRK6","GH05F177410","chr5",177410601,177411000,0.25,13.53
"56","FAF2","GH05F177410","chr5",177410601,177411000,0.25,13.02
"57","DOK3","GH05F177410","chr5",177410601,177411000,0.25,10.95
"58","F12","GH05F177410","chr5",177410601,177411000,0.25,0.4
"59","WWC1","GH05F168277","chr5",168277313,168278377,1.04,0.36
"60","ICE1","GH05F005136","chr5",5136088,5136237,0.25,10.82
"61","PTGER4","GH05F040630","chr5",40630201,40630400,0.86,11.66
"62","TTC33","GH05F040630","chr5",40630201,40630400,0.86,4.05
"63","MEIKIN","GH05F131525","chr5",131525601,131527200,0.25,21.03
"64","GOLPH3","GH05F032254","chr5",32254938,32256047,0.25,10.93
"65","ZFR","GH05F032254","chr5",32254938,32256047,0.25,10.62
"66","ACSL6","GH05F132031","chr5",132031594,132032917,0.25,12.2
"67","IL3","GH05F132031","chr5",132031594,132032917,0.25,11.71
"68","CSF2","GH05F132031","chr5",132031594,132032917,0.25,11.34
"69","FNIP1","GH05F132031","chr5",132031594,132032917,0.25,10.59
"70","SLC22A5","GH05F132031","chr5",132031594,132032917,0.25,5.93
"71","NLN","GH05F065141","chr5",65141749,65146153,0.9,5.01
"72","PPWD1","GH05F065141","chr5",65141749,65146153,0.9,4.47
"73","LMNB1","GH05F126753","chr5",126753180,126753691,0.67,12.47
"74","GALNT10","GH05F154167","chr5",154167109,154168590,0.79,4.96
"75","ZFP62","GH05F181045","chr5",181045837,181046231,0.65,14.46
"76","TRIM52","GH05F181045","chr5",181045837,181046231,0.65,13.24
"77","CNOT6","GH05F181045","chr5",181045837,181046231,0.65,10.77
"78","BTNL9","GH05F181045","chr5",181045837,181046231,0.65,3.88
"79","NR3C1","GH05F142929","chr5",142929191,142931028,1.51,6.42
"80","ARHGAP26","GH05F142929","chr5",142929191,142931028,1.51,1.7
"81","MEIKIN","GH05F131943","chr5",131943801,131945154,0.52,0.76
"82","MFAP3","GH05F154176","chr5",154176345,154177013,0.38,10.76
"83","GALNT10","GH05F154176","chr5",154176345,154177013,0.38,0.36
"84","SPRY4","GH05F142428","chr5",142428800,142429201,0.25,10.23
"85","RANBP3L","GH05F036402","chr5",36402545,36404998,0.81,11.15
"86","SLC1A3","GH05F036402","chr5",36402545,36404998,0.81,10.21
"87","MCTP1","GH05F095060","chr5",95060000,95060400,0.25,18.18
"88","EMB","GH05F050553","chr5",50553401,50554000,0.38,15.18
"89","PARP8","GH05F050553","chr5",50553401,50554000,0.38,5.12
"90","MAML1","GH05F180172","chr5",180172066,180175192,1.29,16.54
"91","RNF130","GH05F180172","chr5",180172066,180175192,1.29,8.41
"92","RASGEF1C","GH05F180172","chr5",180172066,180175192,1.29,4.74
"93","PIK3R1","GH05F068418","chr5",68418035,68426600,0.96,2.41
"94","HEXB","GH05F074682","chr5",74682985,74683811,0.56,7.85
"95","ENC1","GH05F074682","chr5",74682985,74683811,0.56,0.24
"96","PPIP5K2","GH05F103271","chr5",103271401,103272599,0.71,12.42
"97","CDC42SE2","GH05F130332","chr5",130332881,130333756,0.25,3.86
"98","SMIM15","GH05F061343","chr5",61343801,61344800,0.25,11.2
"99","ZSWIM6","GH05F061343","chr5",61343801,61344800,0.25,0.36
"100","LVRN","GH05F115977","chr5",115977212,115980630,1.04,23.57
"101","MAP3K1","GH05F056585","chr5",56585371,56590489,0.63,11
"102","PHYKPL","GH05F178365","chr5",178365401,178366042,0.31,2.07
"103","FBLL1","GH05F168714","chr5",168714001,168714400,0.25,11.31
"104","CMBL","GH05F010329","chr5",10329318,10332600,1.13,11.97
"105","ROPN1L","GH05F010329","chr5",10329318,10332600,1.13,10.03
"106","PURA","GH05F139968","chr5",139968800,139969201,0.71,10.29
"107","CYSTM1","GH05F139968","chr5",139968800,139969201,0.71,9.67
"108","LHFPL2","GH05F078377","chr5",78377200,78377601,0.67,9.11
"109","SCAMP1","GH05F078377","chr5",78377200,78377601,0.67,8.17
"110","CCNJL","GH05F160187","chr5",160187084,160189403,1.15,11.53
"111","ZBED8","GH05F160187","chr5",160187084,160189403,1.15,10.18
"112","FABP6","GH05F160187","chr5",160187084,160189403,1.15,9.11
"113","PWWP2A","GH05F160187","chr5",160187084,160189403,1.15,4.74
"114","ADAMTS2","GH05F179325","chr5",179325126,179327770,0.84,0.34
"115","ADCY2","GH05F007393","chr5",7393947,7397477,1.24,19.71
"116","C5orf49","GH05F007393","chr5",7393947,7397477,1.24,6.49
"117","RXFP3","GH05F033432","chr5",33432737,33433309,0.25,10.83
"118","CXCL14","GH05F135553","chr5",135553818,135554400,0.59,11.26
"119","FBN2","GH05F128644","chr5",128644448,128645996,0.98,17.68
"120","SGCD","GH05F156595","chr5",156595531,156595720,0.46,6.72
"121","PDE8B","GH05F077379","chr5",77379342,77380211,0.84,18.6
"122","AP3B1","GH05F078222","chr5",78222137,78222406,0.25,6.93
"123","CDH10","GH05F024579","chr5",24579162,24579439,0.27,1.94
"124","ANKRD55","GH05F056258","chr5",56258314,56259999,1.33,11.51
"125","FER","GH05F108726","chr5",108726471,108729337,0.56,19.63
"126","BTF3","GH05F073471","chr5",73471093,73472125,0.84,11.45
"127","NDUFS6","GH05F001948","chr5",1948118,1950826,1.04,10.46
"128","MRPL36","GH05F001948","chr5",1948118,1950826,1.04,10.46
"129","IRX4","GH05F001948","chr5",1948118,1950826,1.04,5.34
"130","NR3C1","GH05F143059","chr5",143059086,143062642,1.13,5.41
"131","CAST","GH05F096565","chr5",96565164,96568239,1.01,11.33
"132","ERAP1","GH05F096565","chr5",96565164,96568239,1.01,5.07
"133","CDO1","GH05F115822","chr5",115822222,115822472,0.6,0.4
"134","AP3S1","GH05F115822","chr5",115822222,115822472,0.6,0.34
"135","SLIT3","GH05F168734","chr5",168734776,168734905,0.52,11.34
"136","ADAM19","GH05F157538","chr5",157538595,157551369,0.98,20.49
"137","FNDC9","GH05F157538","chr5",157538595,157551369,0.98,14.69
"138","THG1L","GH05F157538","chr5",157538595,157551369,0.98,8.04
"139","NIPAL4","GH05F157538","chr5",157538595,157551369,0.98,6.72
"140","C5orf52","GH05F157538","chr5",157538595,157551369,0.98,4.55
"141","ITK","GH05F157538","chr5",157538595,157551369,0.98,3.97
"142","CYFIP2","GH05F157538","chr5",157538595,157551369,0.98,2.93
"143","RMND5B","GH05F178074","chr5",178074700,178074709,0.77,12.03
"144","N4BP3","GH05F178074","chr5",178074700,178074709,0.77,11.8
"145","ANKRA2","GH05F074337","chr5",74337178,74338437,0.56,13.91
"146","UTP15","GH05F074337","chr5",74337178,74338437,0.56,10.48
"147","BTF3","GH05F074337","chr5",74337178,74338437,0.56,6.13
"148","CMBL","GH05F010421","chr5",10421402,10423014,1.26,11.13
"149","CATSPER3","GH05F134975","chr5",134975391,134975620,0.67,0.4
"150","TRIM52","GH05F180520","chr5",180520401,180521400,0.46,22.14
"151","ZFP62","GH05F180520","chr5",180520401,180521400,0.46,14.42
"152","MAML1","GH05F180520","chr5",180520401,180521400,0.46,14.27
"153","CNOT6","GH05F180520","chr5",180520401,180521400,0.46,11.02
"154","SCGB3A1","GH05F180520","chr5",180520401,180521400,0.46,6.76
"155","MAST4","GH05F067030","chr5",67030179,67032702,0.92,6.65
"156","SRD5A1","GH05F006631","chr5",6631201,6639073,0.95,19.3
"157","NSUN2","GH05F006631","chr5",6631201,6639073,0.95,18.76
"158","MED10","GH05F006631","chr5",6631201,6639073,0.95,9.49
"159","ERCC8","GH05F060798","chr5",60797522,60797791,0.46,13.47
"160","ELOVL7","GH05F060798","chr5",60797522,60797791,0.46,0.23
"161","SGCD","GH05F156399","chr5",156399181,156403518,0.65,11.25
"162","NUDT12","GH05F103542","chr5",103542833,103542960,1.09,0.34
