"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","POU3F4","GH0XF083510","chrX",82765698,82767821,1.98,13.79
"2","SCML1","GH0XF017735","chrX",17753281,17757631,1.89,8.3
"3","TLR8","GH0XF012945","chrX",12963925,12980701,1.77,30.49
"4","TMSB4X","GH0XF012945","chrX",12963925,12980701,1.77,18.9
"5","TLR7","GH0XF012945","chrX",12963925,12980701,1.77,3.36
"6","ATXN3L","GH0XF012945","chrX",12963925,12980701,1.77,1.41
"7","PRKX","GH0XF003813","chrX",3731642,3736152,1.74,9.37
"8","BCOR","GH0XF039852","chrX",39711256,39716653,1.71,1.17
"9","ATP6AP2","GH0XF040866","chrX",40725921,40727208,1.69,1.46
"10","MED14","GH0XF040866","chrX",40725921,40727208,1.69,1.22
"11","DMD","GH0XF033338","chrX",33356949,33358165,1.67,0.76
"12","PHKA2","GH0XF018884","chrX",18903012,18906722,1.67,1.26
"13","WDR44","GH0XF118352","chrX",117486564,117490364,1.66,6.54
"14","DOCK11","GH0XF118352","chrX",117486564,117490364,1.66,3.43
"15","FAM127C","GH0XF135003","chrX",134137631,134139029,1.64,16.47
"16","SMIM10","GH0XF135003","chrX",134137631,134139029,1.64,0.36
"17","FAM9C","GH0XF013109","chrX",13127672,13130293,1.63,14.57
"18","ENOX2","GH0XF130879","chrX",130012974,130013375,1.62,13.29
"19","TBL1X","GH0XF009349","chrX",9317642,9321839,1.62,20.99
"20","FAM9B","GH0XF009349","chrX",9317642,9321839,1.62,7.8
"21","VGLL1","GH0XF136584","chrX",135666787,135671744,1.61,13.23
"22","ARHGEF6","GH0XF136584","chrX",135666787,135671744,1.61,5.82
"23","CD40LG","GH0XF136584","chrX",135666787,135671744,1.61,2.63
"24","GPR101","GH0XF136584","chrX",135666787,135671744,1.61,1.4
"25","MAOA","GH0XF043642","chrX",43502237,43504108,1.6,51.19
"26","GPKOW","GH0XF049154","chrX",49010898,49013538,1.6,5.87
"27","HDAC6","GH0XF049154","chrX",49010898,49013538,1.6,2.16
"28","MAGIX","GH0XF049154","chrX",49010898,49013538,1.6,1.89
"29","GATA1","GH0XF049154","chrX",49010898,49013538,1.6,1.62
"30","MID1IP1","GH0XF038882","chrX",38741819,38743290,1.6,1.47
"31","SH2D1A","GH0XF124215","chrX",123349084,123353995,1.59,2.59
"32","CXorf23","GH0XF019839","chrX",19857320,19861117,1.59,7.54
"33","EIF1AX","GH0XF019839","chrX",19857320,19861117,1.59,4.38
"34","SH3KBP1","GH0XF019839","chrX",19857320,19861117,1.59,2.29
"35","BCOR","GH0XF039859","chrX",39719055,39720654,1.59,2.31
"36","VSIG4","GH0XF065996","chrX",65215850,65243178,1.59,11.27
"37","MSN","GH0XF065996","chrX",65215850,65243178,1.59,11.09
"38","HEPH","GH0XF065996","chrX",65215850,65243178,1.59,4.31
"39","RP2","GH0XF046791","chrX",46650510,46653950,1.59,9.71
"40","CHST7","GH0XF046791","chrX",46650510,46653950,1.59,9.16
"41","SLC9A7","GH0XF046791","chrX",46650510,46653950,1.59,5.41
"42","ZNF674","GH0XF046791","chrX",46650510,46653950,1.59,5.03
"43","DOCK11","GH0XF118519","chrX",117653165,117666162,1.59,22.16
"44","LONRF3","GH0XF118519","chrX",117653165,117666162,1.59,19.63
"45","WDR44","GH0XF118519","chrX",117653165,117666162,1.59,2.12
"46","IL13RA1","GH0XF118519","chrX",117653165,117666162,1.59,1.2
"47","TSC22D3","GH0XF107708","chrX",106952031,106963003,1.58,27.94
"48","ATG4A","GH0XF107708","chrX",106952031,106963003,1.58,1.35
"49","SH2D1A","GH0XF124341","chrX",123475139,123483773,1.57,7.34
"50","STAG2","GH0XF124341","chrX",123475139,123483773,1.57,3.51
"51","VSIG4","GH0XF066074","chrX",65294044,65295588,1.57,12.86
"52","HEPH","GH0XF066074","chrX",65294044,65295588,1.57,3.88
"53","MSN","GH0XF066074","chrX",65294044,65295588,1.57,2.53
"54","ZRSR2","GH0XF016023","chrX",16041746,16043338,1.56,15.77
"55","AP1S2","GH0XF016023","chrX",16041746,16043338,1.56,9.9
"56","CXCR3","GH0XF071615","chrX",70835108,70841003,1.55,7.59
"57","OGT","GH0XF071615","chrX",70835108,70841003,1.55,1.49
"58","TAF1","GH0XF071615","chrX",70835108,70841003,1.55,1.33
"59","SH3KBP1","GH0XF019724","chrX",19742519,19744518,1.54,10.18
"60","BCOR","GH0XF039870","chrX",39729255,39730054,1.54,1.72
"61","MAMLD1","GH0XF150361","chrX",149530101,149535893,1.53,9.99
"62","F8A1","GH0XF154723","chrX",153951277,153969274,1.53,32.51
"63","EMD","GH0XF154723","chrX",153951277,153969274,1.53,24.35
"64","PLXNA3","GH0XF154723","chrX",153951277,153969274,1.53,22.54
"65","HCFC1","GH0XF154723","chrX",153951277,153969274,1.53,22.44
"66","F8A2","GH0XF154723","chrX",153951277,153969274,1.53,21.84
"67","DKC1","GH0XF154723","chrX",153951277,153969274,1.53,13.93
"68","MPP1","GH0XF154723","chrX",153951277,153969274,1.53,13.85
"69","FAM3A","GH0XF154723","chrX",153951277,153969274,1.53,13.75
"70","TMEM187","GH0XF154723","chrX",153951277,153969274,1.53,11.69
"71","IKBKG","GH0XF154723","chrX",153951277,153969274,1.53,11.3
"72","CLIC2","GH0XF154723","chrX",153951277,153969274,1.53,9.75
"73","GAB3","GH0XF154723","chrX",153951277,153969274,1.53,8.47
"74","F8","GH0XF154723","chrX",153951277,153969274,1.53,2.3
"75","DNASE1L1","GH0XF154723","chrX",153951277,153969274,1.53,2.18
"76","TKTL1","GH0XF154723","chrX",153951277,153969274,1.53,1.86
"77","TAZ","GH0XF154723","chrX",153951277,153969274,1.53,1.67
"78","TAF9B","GH0XF078652","chrX",77907612,77909980,1.52,3.81
"79","CYSLTR1","GH0XF078652","chrX",77907612,77909980,1.52,3.64
"80","ZCCHC5","GH0XF078652","chrX",77907612,77909980,1.52,0.4
"81","CLCN4","GH0XF010198","chrX",10166240,10169387,1.52,22.35
"82","WWC3","GH0XF010198","chrX",10166240,10169387,1.52,1.81
"83","ITM2A","GH0XF079142","chrX",78398469,78413957,1.52,15.93
"84","P2RY10","GH0XF079142","chrX",78398469,78413957,1.52,6.44
"85","GPR174","GH0XF079142","chrX",78398469,78413957,1.52,5.64
"86","ZCCHC5","GH0XF079142","chrX",78398469,78413957,1.52,4.31
"87","LPAR4","GH0XF079142","chrX",78398469,78413957,1.52,4.06
"88","AIFM1","GH0XF130117","chrX",129251568,129256117,1.5,12.98
"89","RAB33A","GH0XF130117","chrX",129251568,129256117,1.5,12.97
"90","ELF4","GH0XF130117","chrX",129251568,129256117,1.5,12.32
"91","RBMX2","GH0XF130117","chrX",129251568,129256117,1.5,10.79
"92","ZNF280C","GH0XF130117","chrX",129251568,129256117,1.5,6.29
"93","SASH3","GH0XF130117","chrX",129251568,129256117,1.5,2.41
"94","TBL1X","GH0XF009355","chrX",9323641,9324573,1.5,12.9
"95","FAM9B","GH0XF009355","chrX",9323641,9324573,1.5,7.38
"96","FAM156A","GH0XF052919","chrX",52948796,52951640,1.5,32.69
"97","TSPYL2","GH0XF052919","chrX",52948796,52951640,1.5,2.65
"98","KDM5C","GH0XF052919","chrX",52948796,52951640,1.5,1.4
"99","FAM156B","GH0XF052919","chrX",52948796,52951640,1.5,0.29
"100","ZNF185","GH0XF152893","chrX",152061802,152067544,1.5,7.96
"101","CETN2","GH0XF152893","chrX",152061802,152067544,1.5,4.36
"102","NSDHL","GH0XF152893","chrX",152061802,152067544,1.5,0.19
"103","CHST7","GH0XF046704","chrX",46563436,46565342,1.5,11.85
"104","ITM2A","GH0XF079138","chrX",78393712,78395979,1.49,5.21
