"","gene","GH_id","GH_chr","GH_start","GH_end","GH enhancer confidence score","GH gene connection score"
"1","TMEM14C","GH06F010398","chr6",10398659,10421596,2.45,18.05
"2","ERVFRD-1","GH06F010398","chr6",10398659,10421596,2.45,10.55
"3","TFAP2A","GH06F010398","chr6",10398659,10421596,2.45,8.85
"4","PAK1IP1","GH06F010398","chr6",10398659,10421596,2.45,5.12
"5","TMEM14B","GH06F010398","chr6",10398659,10421596,2.45,3.7
"6","C6orf52","GH06F010398","chr6",10398659,10421596,2.45,2.02
"7","MARCKS","GH06F113854","chr6",114175235,114182771,2.33,9.23
"8","TFAP2A","GH06F010309","chr6",10309342,10317834,2.22,5.08
"9","PAK1IP1","GH06F010309","chr6",10309342,10317834,2.22,1.56
"10","NDUFAF4","GH06F097626","chr6",98074091,98075722,2.19,4.95
"11","KCTD20","GH06F036592","chr6",36559846,36570545,2.11,30.48
"12","CDKN1A","GH06F036592","chr6",36559846,36570545,2.11,26.46
"13","RAB44","GH06F036592","chr6",36559846,36570545,2.11,23.91
"14","CMTR1","GH06F036592","chr6",36559846,36570545,2.11,22.69
"15","STK38","GH06F036592","chr6",36559846,36570545,2.11,20.69
"16","TBC1D22B","GH06F036592","chr6",36559846,36570545,2.11,13.96
"17","ETV7","GH06F036592","chr6",36559846,36570545,2.11,13.4
"18","PXT1","GH06F036592","chr6",36559846,36570545,2.11,10.48
"19","MAPK14","GH06F036592","chr6",36559846,36570545,2.11,9.89
"20","SRSF3","GH06F036592","chr6",36559846,36570545,2.11,2.41
"21","EFHC1","GH06F052388","chr6",52253119,52256997,2.04,17.74
"22","PAQR8","GH06F052388","chr6",52253119,52256997,2.04,17.1
"23","MCM3","GH06F052388","chr6",52253119,52256997,2.04,16.88
"24","IL17F","GH06F052388","chr6",52253119,52256997,2.04,10.2
"25","REV3L","GH06F111549","chr6",111871004,111877634,2.03,19.98
"26","TRAF3IP2","GH06F111549","chr6",111871004,111877634,2.03,17.29
"27","GJA10","GH06F089976","chr6",90685856,90688919,1.94,16.31
"28","TNFAIP3","GH06F137810","chr6",138131481,138135169,1.93,41.86
"29","BEND3","GH06F107653","chr6",107974529,107981118,1.92,11.78
"30","RIOK1","GH06F007163","chr6",7163921,7175032,1.87,12.97
"31","RREB1","GH06F007163","chr6",7163921,7175032,1.87,5.04
"32","CAGE1","GH06F007163","chr6",7163921,7175032,1.87,1.91
"33","SOX4","GH06F021586","chr6",21586846,21590230,1.86,9.37
"34","AHI1","GH06F135280","chr6",135601539,135604052,1.83,16.43
"35","MYB","GH06F135280","chr6",135601539,135604052,1.83,2.56
"36","PLA2G7","GH06F046770","chr6",46738341,46742736,1.81,14.06
"37","MEP1A","GH06F046770","chr6",46738341,46742736,1.81,11.13
"38","TDRD6","GH06F046770","chr6",46738341,46742736,1.81,10.55
"39","TAGAP","GH06F159097","chr6",159518234,159522031,1.81,41.24
"40","RSPH3","GH06F159097","chr6",159518234,159522031,1.81,11.44
"41","SYTL3","GH06F159097","chr6",159518234,159522031,1.81,1.71
"42","DYNLT1","GH06F159097","chr6",159518234,159522031,1.81,1.22
"43","TAGAP","GH06F159060","chr6",159481634,159486631,1.81,26.39
"44","DYNLT1","GH06F159060","chr6",159481634,159486631,1.81,1.24
"45","SYTL3","GH06F159060","chr6",159481634,159486631,1.81,1.24
