chr,start,end,W statistics,q-value,threshold,indicator
1,748573,758573,0,1,Inf,FALSE
1,751073,756073,0.144192103517799,0.850406504065041,Inf,FALSE
1,753573,763573,0.227600292109081,0.850406504065041,Inf,FALSE
1,768573,778573,0,1,Inf,FALSE
1,769223,769223,0,1,Inf,FALSE
1,773573,783573,0,1,Inf,FALSE
1,778573,788573,0.122203368051705,0.850406504065041,Inf,FALSE
1,788573,798573,1.06434351623451,0.850406504065041,Inf,FALSE
1,793573,803573,0.778987955498627,0.850406504065041,Inf,FALSE
1,801536,801536,0,1,Inf,FALSE
1,803573,813573,0,1,Inf,FALSE
1,808573,818573,0,1,Inf,FALSE
1,811073,816073,0,1,Inf,FALSE
1,813573,818573,0,1,Inf,FALSE
1,813573,823573,0,1,Inf,FALSE
1,816073,821073,0,1,Inf,FALSE
1,818573,828573,0.761722630150242,0.850406504065041,Inf,FALSE
1,821073,826073,0.9451468886057,0.850406504065041,Inf,FALSE
1,823573,833573,0.294702223160492,0.850406504065041,Inf,FALSE
1,826073,831073,0,1,Inf,FALSE
1,828573,838573,0,1,Inf,FALSE
1,829073,830073,0,1,Inf,FALSE
1,831073,836073,0,1,Inf,FALSE
1,833573,834573,0,1,Inf,FALSE
1,833573,843573,0,1,Inf,FALSE
1,833927,833927,0.129590448170344,0.850406504065041,Inf,FALSE
1,834263,834263,0,1,Inf,FALSE
1,837657,837657,0,1,Inf,FALSE
1,838573,843573,0.13849071975266,0.850406504065041,Inf,FALSE
1,838573,848573,0,1,Inf,FALSE
1,840753,840753,0,1,Inf,FALSE
1,843573,848573,0,1,Inf,FALSE
1,843573,853573,0,1,Inf,FALSE
1,844300,844300,0,1,Inf,FALSE
1,846073,851073,0,1,Inf,FALSE
1,848573,853573,0,1,Inf,FALSE
1,848573,858573,0,1,Inf,FALSE
1,850371,850371,0,1,Inf,FALSE
1,851073,856073,0.292876395948758,0.850406504065041,Inf,FALSE
1,851390,851390,1.39083149964293,0.850406504065041,Inf,FALSE
1,853573,863573,0.576350755159347,0.850406504065041,Inf,FALSE
1,858573,868573,0,1,Inf,FALSE
1,861073,866073,0,1,Inf,FALSE
1,862772,862772,0,1,Inf,FALSE
1,863573,868573,0,1,Inf,FALSE
1,863573,873573,0,1,Inf,FALSE
1,864490,864490,0,1,Inf,FALSE
1,866073,871073,0,1,Inf,FALSE
1,867663,867663,0,1,Inf,FALSE
1,868573,873573,0,1,Inf,FALSE
1,868573,878573,0,1,Inf,FALSE
1,872352,872352,0,1,Inf,FALSE
1,873573,883573,0.55212228203999,0.850406504065041,Inf,FALSE
1,876499,876499,0,1,Inf,FALSE
1,878331,878331,0,1,Inf,FALSE
1,878573,883573,0.52921868709943,0.850406504065041,Inf,FALSE
1,878573,888573,0,1,Inf,FALSE
1,879482,879482,1.03698730351557,0.850406504065041,Inf,FALSE
1,880573,881573,0.60427027340626,0.850406504065041,Inf,FALSE
1,881073,886073,0.780069545012214,0.850406504065041,Inf,FALSE
1,881918,881918,0,1,Inf,FALSE
1,883573,888573,0,1,Inf,FALSE
1,883573,893573,0,1,Inf,FALSE
1,886073,891073,0,1,Inf,FALSE
1,888573,893573,0,1,Inf,FALSE
1,888573,898573,0,1,Inf,FALSE
1,891073,896073,0,1,Inf,FALSE
1,891620,891620,0.359841533844539,0.850406504065041,Inf,FALSE
1,893073,894073,0,1,Inf,FALSE
1,893573,898573,0,1,Inf,FALSE
1,894519,894519,0,1,Inf,FALSE
1,898573,908573,0.318496079837192,0.850406504065041,Inf,FALSE
1,901073,906073,0,1,Inf,FALSE
1,903573,913573,0,1,Inf,FALSE
1,905073,906073,0,1,Inf,FALSE
1,905573,906573,0.742631885925668,0.850406504065041,Inf,FALSE
1,906073,907073,1.1942912296572,0.850406504065041,Inf,FALSE
1,906073,911073,0.450343699008647,0.850406504065041,Inf,FALSE
1,907609,907609,1.08408266149968,0.850406504065041,Inf,FALSE
1,908573,913573,0,1,Inf,FALSE
1,908573,918573,0,1,Inf,FALSE
1,910512,910512,0,1,Inf,FALSE
1,911073,916073,0,1,Inf,FALSE
1,913573,918573,0,1,Inf,FALSE
1,913573,923573,0,1,Inf,FALSE
1,913610,913610,0,1,Inf,FALSE
1,914073,915073,0,1,Inf,FALSE
